# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 23.1std.0 Build 991 11/28/2023 SC Lite Edition
# File: /home/dio/OneDrive/Cave/Projects/2024.2-UFRN/Courses/Circuitos Logicos/Atividades/Atividade 2.5/ULA/output_files/ula_16b.csv
# Generated on: Mon Dec  9 15:03:44 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLK,Input,,,,PIN_AH14,,,,,,
HEX0[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
HEX0[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
HEX0[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
HEX0[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
HEX0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
HEX0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
HEX0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
HEX1[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
HEX1[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
HEX1[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
HEX1[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
